"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","RT @WSJ: Election night guide: battlegrounds to watch, top races and key times https://t.co/vj4UamLg61 ������ #Election2016 https://t.co/HupnaRb…",FALSE,0,NA,2016-11-08 16:34:18,FALSE,NA,"796028079294398465",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","salvyroxy",82,TRUE,FALSE,NA,NA,"california","en","http://pbs.twimg.com/profile_images/778145813965004802/2p6oM_hy_normal.jpg"
"2","RT @WSJ: Election night guide: battlegrounds to watch, top races and key times https://t.co/vj4UamLg61 ������ #Election2016 https://t.co/HupnaRb…",FALSE,0,NA,2016-11-08 16:34:18,FALSE,NA,"796028079265021952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","shaqibshahril",82,TRUE,FALSE,NA,NA,"Johor Bahru, Malaysia","en","http://pbs.twimg.com/profile_images/795523440207761408/gbRMCp5k_normal.jpg"
"3","RT @politico: 33 things this election will decide that have nothing to do with @realDonaldTrump or @HillaryClinton https://t.co/3C4ABnS6jk…",FALSE,0,NA,2016-11-08 16:34:17,FALSE,NA,"796028076870090752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CynicalPolitico",22,TRUE,FALSE,NA,NA,"The Left Coast","en","http://pbs.twimg.com/profile_images/448895816854282240/psc_Blg1_normal.jpeg"
"4","Inside the #election2016 video game that was built to defeat #DonaldTrump: https://t.co/x3CCFAX3Fi #Trump #NeverTrump #iWillVote!",FALSE,0,NA,2016-11-08 16:34:17,FALSE,NA,"796028076585058304",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","clevelandgreens",0,FALSE,FALSE,NA,NA,"Cleveland, Ohio","en","http://pbs.twimg.com/profile_images/757804290568183809/AGcOMz_7_normal.jpg"
"5","RT @Harri8t: CNBC is planning election night coverage unlike anything else on TV https://t.co/1kBRbSh6Nx via @jyarow",FALSE,0,NA,2016-11-08 16:34:17,FALSE,NA,"796028076404736000",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","CS_Caucus",12,TRUE,FALSE,NA,NA,"DC","en","http://pbs.twimg.com/profile_images/790555050984763392/S6N5eEkW_normal.jpg"
"6","RT @MaxNWeiss: The official 2016 election gif https://t.co/wPcoiHK9Vu",FALSE,0,NA,2016-11-08 16:34:17,FALSE,NA,"796028075939131392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MaxNWeiss",5,TRUE,FALSE,NA,NA,"Illinois, USA","en","http://pbs.twimg.com/profile_images/688959345623580672/GQaoov75_normal.jpg"
"7","RT @nytimes: The Hispanic turnout will be far higher than it was in 2012 https://t.co/218wEn9r0H https://t.co/h2QApmrl1K",FALSE,0,NA,2016-11-08 16:34:17,FALSE,NA,"796028075767197696",NA,"<a href=""http://lissted.com"" rel=""nofollow"">Lissted</a>","USTweetsDistill",454,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/580716531165884416/tnFytCc7_normal.png"
"8","RT @jimmy_dore: Jimmy Dore PREMIUM PODCAST 11-7-16 
Election Fatigue
Selling Out
Indian Food
Voting Green
Finding Optimism

https://t.co/MC…",FALSE,0,NA,2016-11-08 16:34:17,FALSE,NA,"796028075750215680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","g8torgrrl",20,TRUE,FALSE,NA,NA,"Podunk ","en","http://pbs.twimg.com/profile_images/631511003931389953/1qpf1oUh_normal.jpg"
"9","RT @mashable: If the U.S. election was a fairytale read by Benedict Cumberbatch https://t.co/seEUXVWfCV https://t.co/U9aW9IGU7H",FALSE,0,NA,2016-11-08 16:34:17,FALSE,NA,"796028075515478020",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bencoxdc",69,TRUE,FALSE,NA,NA,"UT, Austin","en","http://pbs.twimg.com/profile_images/758292262522454016/fy1Z3RSU_normal.jpg"
"10","RT @DailyCaller: SHOCK POLL: Trump Edges Out Clinton In Michigan On Election Eve https://t.co/lcVsFPM4o0 #ElectionDay https://t.co/tFuQ1ZI8…",FALSE,0,NA,2016-11-08 16:34:17,FALSE,NA,"796028075318321152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thediplomatV7",205,TRUE,FALSE,NA,NA,"#UAE","en","http://pbs.twimg.com/profile_images/765256800472006656/Xk9uvk2e_normal.jpg"
"11","RT @mitchellvii: Donald Trump Takes Tiny Vote Lead in Early New Hampshire Towns - Breitbart https://t.co/HAwXxkAI6p via @BreitbartNews",FALSE,0,NA,2016-11-08 16:34:17,FALSE,NA,"796028075192516609",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheDebView",276,TRUE,FALSE,NA,NA,"Global","en","http://pbs.twimg.com/profile_images/651481682500022272/qS0ch_rI_normal.jpg"
"12","RT @mashable: Scottish goat with 'psychic' powers boldly predicts U.S. election result https://t.co/45rNpXgTRp https://t.co/Dr3ZSQAVjP",FALSE,0,NA,2016-11-08 16:34:17,FALSE,NA,"796028074278187008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","anitaw416",36,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/507937242674130944/-iJQKEBP_normal.jpeg"
"13","New trending GIF tagged election, election 2016, vote, voting, rock the vote via Giphy https://t.co/Xz8IlF40gK https://t.co/LEBwOXkpuC",FALSE,0,NA,2016-11-08 16:34:17,FALSE,NA,"796028074127200256",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","oneideatoday",0,FALSE,FALSE,NA,NA,"UK","en","http://pbs.twimg.com/profile_images/790327466590105609/an3BdZwq_normal.jpg"
"14","RT @JudicialWatch: “More slow-walking,” Judicial Watch President @TomFitton told reporters after #Clinton email hearing https://t.co/u9IxwP…",FALSE,0,NA,2016-11-08 16:34:16,FALSE,NA,"796028073523089409",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fred8835Fred",119,TRUE,FALSE,NA,NA,"Visalia, CA","en","http://pbs.twimg.com/profile_images/749343308405583872/0VsgwdK8_normal.jpg"
"15","How to act at work the day after this bitter election: After today's election, although you may not actually have… https://t.co/vIDYuoWaGO",FALSE,0,NA,2016-11-08 16:34:16,FALSE,NA,"796028073162338304",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","breakingstlnews",0,FALSE,FALSE,NA,NA,"St Louis MO","en","http://pbs.twimg.com/profile_images/1183679394/downtown_st._louis_normal.jpg"
"16","As if we have time to read. Sex, Lies &amp; Politics: 11 Novels to Read On Election Day https://t.co/ipw5rzGxbv via @offtheshelf",FALSE,0,NA,2016-11-08 16:34:16,FALSE,NA,"796028073124642816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BerkeleyPublic",0,FALSE,FALSE,NA,NA,"Berkeley, CA","en","http://pbs.twimg.com/profile_images/786255864193613824/WCDkuilQ_normal.jpg"
"17","Remembering Some of the Most Memorable Quotes From the 2016 Election https://t.co/0vhFNGsaq5 https://t.co/QowlTzfTnu",FALSE,0,NA,2016-11-08 16:34:16,FALSE,NA,"796028072835190784",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","theshowbiznews",0,FALSE,FALSE,NA,NA,"","es","http://pbs.twimg.com/profile_images/768526437989150721/lnN44sCO_normal.jpg"
"18","RT @CNN: In interviews Tuesday, Donald Trump still would not commit to accepting the outcome of the election https://t.co/KqWPGL5CCg #Elect…",FALSE,0,NA,2016-11-08 16:34:16,FALSE,NA,"796028072143290369",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","IsabelleFloride",164,TRUE,FALSE,NA,NA,"","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_2_normal.png"
"19","RT @Expherience: Election 2016 https://t.co/q4rb6LzBQq",FALSE,0,NA,2016-11-08 16:34:16,FALSE,NA,"796028071845498880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","noahjacobs124",460,TRUE,FALSE,NA,NA,"sl, ut. 218✈️801","en","http://pbs.twimg.com/profile_images/792103617184399360/5oefkBO__normal.jpg"
"20","RT @liamdenning: Today's energy slogan: Drill, Baby, Whatever: https://t.co/W907fO9Xuv via @bfly #oil https://t.co/Z5FA4ufeil",FALSE,0,NA,2016-11-08 16:34:16,FALSE,NA,"796028071845462016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","scottlincicome",3,TRUE,FALSE,NA,NA,"Raleigh, NC & Washington, DC","en","http://pbs.twimg.com/profile_images/714254134443175938/cyZv6P2w_normal.jpg"
"21","RT @myfox8: Where to get free stuff, discounts with your 'I voted' sticker on Election Day https://t.co/XqYXIuC2pV https://t.co/Um5fNeSG83",FALSE,0,NA,2016-11-08 16:34:16,FALSE,NA,"796028071744860169",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EonnaNorwood15",17,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/792969421417541632/V5kbCqKc_normal.jpg"
"22","RT @BreitbartXM: Curt Schilling Predicts Donald Trump Win, Says ‘Change’ Is Driving Election
https://t.co/5LnIbWrJ0u",FALSE,0,NA,2016-11-08 16:34:16,FALSE,NA,"796028071631433728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZionistJones",72,TRUE,FALSE,NA,NA,"Austin, TX","en","http://pbs.twimg.com/profile_images/795825034635808768/cTWaaYN7_normal.jpg"
