"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","RT @T_Kelley8: Good morning to everyone except Hillary Clinton",FALSE,0,NA,2016-11-08 16:38:22,FALSE,NA,"796029101861638144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CCollin44",21,TRUE,FALSE,NA,NA,"Thomas St","en","http://pbs.twimg.com/profile_images/774657557705007104/sdBoFGbJ_normal.jpg"
"2","RT @_kylad: vote for Hillary Clinton. i don't care if she's a liar, your boyfriend lies to you everyday and you still fw him. VOTE HILLARY‚Ä¶",FALSE,0,NA,2016-11-08 16:38:22,FALSE,NA,"796029101727502337",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NancyWancy_",195,TRUE,FALSE,NA,NA,"Switzerland","en","http://pbs.twimg.com/profile_images/795896037164666880/lUvgYsKw_normal.jpg"
"3","RT @jayberete: Some people will be driving to Africa if Donald Trump wins against Hillary Clinton  Ì†ΩÌ∏ÇÌ†ΩÌ∏Ç #ElectionDay https://t.co/viACjzkT6S",FALSE,0,NA,2016-11-08 16:38:21,FALSE,NA,"796029101475856384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Versace_11",95,TRUE,FALSE,NA,NA,"Tysons Corner, VA","en","http://pbs.twimg.com/profile_images/787845070120714240/PURlaC69_normal.jpg"
"4","RT @AndyRichter: Parents: Voting for Hillary Clinton is a great way to show your kids that you disagree with the Ku Klux Klan.",FALSE,0,NA,2016-11-08 16:38:21,FALSE,NA,"796029101148700672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TMIANDPIPPY4EVA",1046,TRUE,FALSE,NA,NA,"PA","en","http://pbs.twimg.com/profile_images/795570537389027328/fD9gsH0R_normal.jpg"
"5","RT @BrittPettibone: Hillary Clinton and alleged pedophile James Alefantis, owner of Comet Ping Pong Pizza, connection confirmed. ‚úîÔ∏è

#Spiri‚Ä¶",FALSE,0,NA,2016-11-08 16:38:21,FALSE,NA,"796029100989288453",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","La_Cooks",1335,TRUE,FALSE,NA,NA,"USA","en","http://pbs.twimg.com/profile_images/787095034348773376/oq2i0zev_normal.jpg"
"6","RT @Patriotic_Me: Cool picture of Donald Trump w/ John F Kennedy Jr, who might still be here if not for running against Hillary Clinton as‚Ä¶",FALSE,0,NA,2016-11-08 16:38:21,FALSE,NA,"796029100666318848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rampam50",86,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/549259514802106368/y8-rcJQS_normal.jpeg"
"7","Hillary Clinton got a bowl cut",FALSE,0,NA,2016-11-08 16:38:21,FALSE,NA,"796029099659689984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dsumms22",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/745750603393949696/pfU_2OXL_normal.jpg"
"8","RT @carolelee: It's after midnight on Election Day and Lady Gaga is trying to get out the vote for Hillary Clinton in NC https://t.co/AKR59‚Ä¶",FALSE,0,NA,2016-11-08 16:38:21,FALSE,NA,"796029099387088896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Harrybabylv",52,TRUE,FALSE,NA,NA,"Sweet Home","pt","http://pbs.twimg.com/profile_images/795349824698728449/DHgHNDCi_normal.jpg"
"9","RT @laurr_17: I pray that Hillary Clinton is not elected president",FALSE,0,NA,2016-11-08 16:38:21,FALSE,NA,"796029098678255616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amberlyjones_",40,TRUE,FALSE,NA,NA,"Somerset, KY","en","http://pbs.twimg.com/profile_images/755307560987725824/nQQAtkZB_normal.jpg"
"10","Hillary Clinton Supporters Plan to Sport Pantsuits at the Polls - WSJ https://t.co/01L47UjGjw",FALSE,0,NA,2016-11-08 16:38:21,FALSE,NA,"796029098393010177",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","21gaaf",0,FALSE,FALSE,NA,NA,"","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_6_normal.png"
"11","RT @DailyMail: Tracking poll shows Trump leading Clinton by a few percentage points #ElectionDay https://t.co/IEpzrwjKex https://t.co/zOGE6‚Ä¶",FALSE,0,NA,2016-11-08 16:38:21,FALSE,NA,"796029097776467968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PeterCHealy",118,TRUE,FALSE,NA,NA,"Cork,Ireland.","en","http://pbs.twimg.com/profile_images/775025737476734978/dvzQy5qo_normal.jpg"
"12","RT @washingtonpost: From FDR to Hillary Clinton: This woman‚Äôs eight decades of voting https://t.co/iGfifHzFVx",FALSE,0,NA,2016-11-08 16:38:21,FALSE,NA,"796029097554153472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RavenCat13",16,TRUE,FALSE,NA,NA,"Inverness, FL","en","http://pbs.twimg.com/profile_images/553030155246239744/ConA5_CS_normal.jpeg"
